id1;Санкт-Петербург;улица Димитрова;20 к2;59,851153;30,390609;
id1;Санкт-Петербург;улица Димитрова;20 к3;59,851092;30,391574;
id1;Санкт-Петербург;улица Димитрова;20 к1;59,85016;30,391991;
id1;Санкт-Петербург;Улица Димитрова, Дом 20, Корпус 3;20А корпус 3;59,851421;30,391378;
id1;Санкт-Петербург;Улица Димитрова, Дом 20, Корпус 2;20А корпус 2;59,850816;30,390824;
id2;Санкт-Петербург;Купчинская улица;4 к1;59,844570899999994;30,381920746535986;
id2;Санкт-Петербург;Купчинская улица;4 к3;59,84406835;30,38499253299578;
id2;Санкт-Петербург;Купчинская улица;4 к2 литБ;59,8442789;30,383099999895734;
id2;Санкт-Петербург;Купчинская улица;4 к2 литА;59,8440386;30,3833557;
id2;Санкт-Петербург;Купчинская улица;4 к2 литА;59,84408415;30,383536899583543;
